	orientation_at_TR	pos_in_ori_at_TR	direction_at_TR
365	-1.0	0.0	1.0
366	-1.0	0.0	0.0
367	-1.0	0.0	0.0
368	-1.0	0.0	0.0
369	-1.0	0.0	1.0
370	-1.0	0.0	0.0
371	-1.0	0.0	1.0
372	-1.0	0.0	1.0
373	-1.0	0.0	1.0
374	-1.0	0.0	1.0
